,roi,side,eccen,subject,preferred_period,sigma
318,2,0,11.5,3,4.79908078669554,1.1078604345911005
319,2,1,1.5,3,1.1859415124614094,1.328590876440586
320,2,1,2.5,3,0.7613282497836085,1.749897768764984
321,2,1,3.5,3,0.8128069115461577,2.728095382452011
322,2,1,4.5,3,0.5291977556391095,2.945507689561258
323,2,1,5.5,3,1.20590137298731,2.8323122969185803
324,2,1,6.5,3,1.420350771084972,2.924261537117836
325,2,1,7.5,3,2.698160293448651,1.93873275520531
326,2,1,8.5,3,2.047843579264899,1.1403787855803966
327,2,1,9.5,3,2.333936181037109,1.218082863316741
328,2,1,10.5,3,2.4866839285027877,1.2221697460000331
329,2,1,11.5,3,3.103822335223253,1.6619571525542465
330,2,0,1.5,4,0.4401972805241308,0.2989118879168541
331,2,0,2.5,4,0.6929016594196568,1.134577049131699
332,2,0,3.5,4,0.6800115564315666,1.470279224349197
333,2,0,4.5,4,1.1642677991456118,2.3052889646755323
334,2,0,5.5,4,1.2607505764011775,3.1870513829424625
335,2,0,6.5,4,1.4260458671177405,3.1649059716814247
336,2,0,7.5,4,1.6751276303976714,3.6415048217385766
337,2,0,8.5,4,2.005726524116379,4.320208982841389
338,2,0,9.5,4,2.6846607307531345,4.660835551888975
339,2,0,10.5,4,3.2613338357756274,4.221266018019782
340,2,0,11.5,4,4.05492243358346,3.88468655463188
341,2,1,1.5,4,0.428284123631041,0.5398981600863437
342,2,1,2.5,4,0.5293642145811427,1.2553998814567775
343,2,1,3.5,4,0.7055851264337373,3.0974505235954206
344,2,1,4.5,4,0.9267610557493262,2.1104175590333485
345,2,1,5.5,4,1.1316377394558632,1.8702613528214356
346,2,1,6.5,4,1.281521255801253,2.18332990361195
347,2,1,7.5,4,1.4685834084698155,2.1255446751328075
348,2,1,8.5,4,1.701708649335222,2.648622160967516
349,2,1,9.5,4,1.8715584032493915,3.829274738905952
350,2,1,10.5,4,0.3195688540707785,4.4488719253413445
351,2,1,11.5,4,0.015788204965458,4.606501293403131
352,2,0,1.5,5,0.4916052608478849,0.5200425371961687
353,2,0,2.5,5,0.5799165298876278,0.7774934494069644
354,2,0,3.5,5,0.6436493703009041,1.6733235404321125
355,2,0,4.5,5,0.7897368474707955,1.836372202987154
356,2,0,5.5,5,1.1222269726965886,2.6715784755769683
357,2,0,6.5,5,1.2680066026048982,2.900231430630484
358,2,0,7.5,5,1.410363594015842,3.287169856361196
359,2,0,8.5,5,1.576382773323736,3.546979558376865
360,2,0,9.5,5,1.796565118375776,3.947800872636878
361,2,0,10.5,5,2.2404530104979474,3.615898631568309
362,2,0,11.5,5,2.271318711357614,3.202504702884218
363,2,1,1.5,5,0.4398961453254139,0.4190798479097861
364,2,1,2.5,5,0.5537100701814224,0.6766358828666259
365,2,1,3.5,5,0.7653418045593389,1.132697799194016
366,2,1,4.5,5,0.7294836188998097,2.368718422660532
367,2,1,5.5,5,0.5679517696220652,3.1884749781700874
368,2,1,6.5,5,0.790478658246842,3.7374502658843993
369,2,1,7.5,5,1.0412618668152924,3.5256397177775702
370,2,1,8.5,5,1.1197646172380316,4.00575300275463
371,2,1,9.5,5,1.7590872647708464,3.4904137269044533
372,2,1,10.5,5,2.6406192694219928,2.662061545526844
373,2,1,11.5,5,2.250021798605213,2.4144131150803987
374,2,0,1.5,6,0.5093732008981214,0.5983772519872992
375,2,0,2.5,6,0.8055715013642993,0.6310936318684931
376,2,0,3.5,6,0.7778931921233077,0.9193644482613534
377,2,0,4.5,6,0.8599854885999049,0.7368899724729683
378,2,0,5.5,6,1.508562526113891,0.9817089534769154
379,2,0,6.5,6,2.485262372170484,1.7465236847088716
380,2,0,7.5,6,2.3818000869665186,2.437202708274126
381,2,0,8.5,6,2.772048550159037,3.0301647967583425
382,2,0,9.5,6,3.3993985414906835,3.0360016106050227
383,2,0,10.5,6,4.285865786713319,2.8290982253096075
384,2,0,11.5,6,5.777800285679375,2.4003589149824407
